"SYSZEIT";"ISOZEIT";"INTZEIT";"DATEI";"DRU_RL0_1_N";"DRU_RL0_1_O";"DRU_RL0_1_S";"DRU_RL0_1_W";"DRU_RL1_2_N";"DRU_RL1_2_O";"DRU_RL1_2_S";"DRU_RL1_2_W";"DRU_RL2_3_N";"DRU_RL2_3_O";"DRU_RL2_3_S";"DRU_RL2_3_W";"DRU_RL3_4_N";"DRU_RL3_4_O";"DRU_RL3_4_S";"DRU_RL3_4_W";"DRU_RL4_5_N";"DRU_RL4_5_O";"DRU_RL4_5_S";"DRU_RL4_5_W";"DRU_RL6_7_N";"DRU_RL6_7_O";"DRU_RL6_7_S";"DRU_RL6_7_W";"DRU_RL8_9_N";"DRU_RL8_9_O";"DRU_RL8_9_S";"DRU_RL8_9_W";"DRU_RL0_1_MW";"DRU_RL1_2_MW";"DRU_RL2_3_MW";"DRU_RL3_4_MW";"DRU_RL4_5_MW";"DRU_RL6_7_MW";"DRU_RL8_9_MW";"DDRU_RL0_REL";"DDRU_RL0_1_REL";"DDRU_RL2_REL";"DDRU_RL3_REL";"DDRU_RL4_REL";"DDRU_RL5_6_REL";"DDRU_RL7_8_REL";"DDRU_RL9_REL";"DRU_MW";"DRU_GG"
7.7.2020 08:20:14;7.7.2020 08:15:00;"2020070708115";"5MI";"3,3816552";"3,3854168";"3,3845488";"3,397859";"3,3750002";"3,4016205";"3,403646";"3,3611113";"3,3179978";"3,3292825";"3,1004053";"3,1828705";"2,923322";"2,9233219";"2,9140626";"2,9418404";"2,8596646";"2,853588";"2,8616899";"2,8677664";"2,7945603";"2,7948497";"2,8029515";"2,8052663";"2,6825811";"2,6967594";"2,6909723";"2,6895256";"3,38737";"3,3853445";"3,232639";"2,9256367";"2,8606772";"2,799407";"2,6899596";"28,9407503";"29,0786363";"10,3954336";"20,8991951";"4,4221208";"4,1709716";"7,4506366";"23,583006";"3,8125001";"2,343533"
7.7.2020 08:25:05;7.7.2020 08:20:00;"2020070708120";"5MI";"3,4308451";"3,4328705";"3,4322918";"3,4453127";"3,4328706";"3,4519678";"3,4568867";"3,4137733";"3,377315";"3,3810765";"3,1672455";"3,242477";"2,9652778";"2,9690395";"2,9655672";"2,9910303";"2,9048034";"2,9004631";"2,9117478";"2,914352";"2,8417247";"2,8260996";"2,8501159";"2,8532988";"2,7335071";"2,7468172";"2,7404515";"2,7395834";"3,43533";"3,4388746";"3,2920285";"2,9727287";"2,9078416";"2,8428098";"2,7400898";"29,087347";"28,8463757";"9,9829887";"21,7068502";"4,4111978";"4,4210348";"6,983179";"23,6483738";"3,8631942";"2,3922309"
7.7.2020 08:30:13;7.7.2020 08:25:00;"2020070708125";"5MI";"3,3703705";"3,3735534";"3,3721066";"3,3854169";"3,362558";"3,3842594";"3,3833914";"3,3449076";"3,3035302";"3,2905095";"3,0879632";"3,1756367";"2,9050928";"2,9163774";"2,9048034";"2,9314238";"2,8423033";"2,8370951";"2,8472224";"2,8512733";"2,7763312";"2,7925348";"2,7847224";"2,7879053";"2,6600117";"2,6756367";"2,6681136";"2,6672455";"3,3753619";"3,3687791";"3,2144099";"2,9144244";"2,8444735";"2,7853734";"2,6677519";"27,9586302";"28,4010939";"10,3759456";"20,163564";"4,7017587";"3,9724208";"7,9059443";"24,4792726";"3,7913193";"2,303559"
7.7.2020 08:35:47;7.7.2020 08:30:00;"2020070708130";"5MI";"3,3825233";"3,3865742";"3,3865742";"3,3995951";"3,3741322";"3,3993057";"3,4021992";"3,362558";"3,3171298";"3,2210649";"3,1455441";"3,2054399";"2,9832178";"2,9791668";"2,9788775";"3,0011576";"2,9178242";"2,9126159";"2,9210071";"2,9265048";"2,85272";"2,8417247";"2,8599539";"2,8648728";"2,7421876";"2,7552085";"2,7494214";"2,748264";"3,3888167";"3,3845488";"3,2222947";"2,9856049";"2,919488";"2,8548179";"2,7487704";"29,751701";"30,0548779";"11,5259725";"16,8136283";"4,6967169";"4,5939412";"7,5332492";"24,7816141";"3,8076391";"2,3999132"
7.7.2020 08:40:12;7.7.2020 08:35:00;"2020070708135";"5MI";"3,2855905";"3,2928242";"3,2936923";"3,3061344";"3,2653358";"3,3000581";"3,3116321";"3,2633103";"3,1776621";"3,070602";"3,0630788";"3,1012733";"2,9126159";"2,9024886";"2,9053821";"2,9212964";"2,8431714";"2,8382525";"2,8454863";"2,8492478";"2,7757524";"2,7806714";"2,7815395";"2,7870372";"2,6588543";"2,6739006";"2,6666668";"2,6652201";"3,2945604";"3,2850841";"3,1031541";"2,9104458";"2,8440395";"2,7812501";"2,6661605";"29,9508349";"30,6232314";"12,9089526";"13,6737334";"4,711899";"4,4552597";"8,1662518";"25,4606721";"3,7166671";"2,3073351"
7.7.2020 08:45:49;7.7.2020 08:40:00;"2020070708140";"5MI";"3,2919562";"3,2986113";"3,3003474";"3,3116321";"3,2711229";"3,3052664";"3,3151044";"3,273727";"3,1345487";"3,0847802";"3,0651043";"3,1073497";"2,9065395";"2,9001738";"2,9082756";"2,9212965";"2,8411459";"2,836227";"2,8480905";"2,8492478";"2,7757524";"2,8070024";"2,7815395";"2,7867479";"2,6669561";"2,679109";"2,6739006";"2,6730326";"3,3006368";"3,2913052";"3,0979457";"2,9090714";"2,8436778";"2,7877606";"2,6732496";"30,1274713";"30,7970866";"13,8750566";"13,5532084";"4,6925023";"4,0124965";"8,2170599";"24,8525897";"3,7204861";"2,3269098"
7.7.2020 08:50:13;7.7.2020 08:45:00;"2020070708145";"5MI";"3,3411459";"3,342014";"3,3408567";"3,3535881";"3,3423034";"3,3709492";"3,3628473";"3,329572";"3,2054399";"3,1698497";"3,1004052";"3,1657987";"2,9600696";"2,9560187";"2,966146";"2,9829284";"2,8984377";"2,8952548";"2,9079862";"2,910301";"2,8376737";"2,8012154";"2,8446182";"2,8495372";"2,7277201";"2,7418982";"2,7346645";"2,7337965";"3,3444012";"3,351418";"3,1603734";"2,9662907";"2,9029949";"2,8332611";"2,7345198";"31,7600228";"31,2566851";"13,7042458";"13,9221785";"4,540412";"5,0022305";"7,0830321";"24,4912159";"3,7871531";"2,393099"
7.7.2020 08:55:17;7.7.2020 08:50:00;"2020070708150";"5MI";"3,345197";"3,3475117";"3,3457756";"3,3582178";"3,3376738";"3,3640047";"3,3538775";"3,3182871";"3,166088";"3,169271";"3,060764";"3,1276043";"2,9079862";"2,9071182";"2,9137733";"2,9288196";"2,8434608";"2,8399886";"2,8521413";"2,8535881";"2,7780673";"2,7954284";"2,7847224";"2,7905094";"2,6646413";"2,6788196";"2,6721644";"2,6715857";"3,3491755";"3,3434608";"3,1309318";"2,9144243";"2,8472947";"2,7871819";"2,6718028";"29,2318055";"29,6187418";"14,3901137";"14,6594938";"4,5452742";"4,0701741";"7,8121968";"24,9040056";"3,7809029";"2,3039931"
7.7.2020 09:00:09;7.7.2020 08:55:00;"2020070708155";"5MI";"3,3845487";"3,3862848";"3,3871529";"3,4016205";"3,3836807";"3,4065395";"3,4186923";"3,3706598";"3,2242478";"3,2170141";"3,1614584";"3,186632";"2,9892942";"2,9846645";"2,9913196";"3,0028936";"2,9233219";"2,9186922";"2,929109";"2,9320025";"2,8593751";"2,841146";"2,8637154";"2,8703705";"2,7520256";"2,7635997";"2,7575233";"2,7569446";"3,3899017";"3,3948931";"3,1973381";"2,992043";"2,9257814";"2,8586518";"2,7575233";"30,9559308";"30,6055611";"13,8673099";"14,4106237";"4,6512118";"4,7121407";"7,0986826";"24,6544702";"3,8309028";"2,4062934"
7.7.2020 09:06:04;7.7.2020 09:00:00;"2020070709100";"5MI";"3,3457757";"3,3501159";"3,3527201";"3,3660302";"3,3310187";"3,3619793";"3,3793404";"3,3344909";"3,1663774";"3,1464122";"3,1206598";"3,1438081";"2,9429978";"2,9346066";"2,940683";"2,9528358";"2,8729747";"2,8668983";"2,8790511";"2,8804978";"2,8055557";"2,8110534";"2,810764";"2,8174191";"2,6909723";"2,7039931";"2,6967594";"2,6953126";"3,3536605";"3,3517073";"3,1443144";"2,9427808";"2,8748555";"2,8111981";"2,6967594";"29,6969742";"29,8291922";"14,0390544";"13,6424206";"4,5980696";"4,3091625";"7,7467027";"25,835398";"3,7923611";"2,3151042"
