Datum;Uhrzeit;Nummer;Siebdauer gemessen [sek];Drehzahl Rinne [%];Materialbezeichnung [text];Eingesiebte Menge [kg];Tagesbunkerfüllstand [%];Materialfeuchte [%];Gültige Körner - Anzahl [-];Gültige Körner - Fläche [m2];Ungültige Cluster - Anzahl [-];Ungültige Cluster - Fläche [m2];Gültige Fläche [%];Verschmutzungs-Kennzahl [-];Zirkularität [-];Rundheit [-];DM [mm];DH [mm];SiebungAktiv;0..0.5mm (HG);0.5..3.15mm (HG);3.15..6.3mm (HG);6.3..10mm (HG);10..12.5mm (HG);12.5..16mm (HG);16..20mm (HG);20..25mm (HG);25..31.5mm (HG);31.5..40mm (HG);40..10000mm (HG);0..1mm (HF);1..2mm (HF);2..3mm (HF);3..4mm (HF);4..5mm (HF);5..6mm (HF);6..7mm (HF);7..8mm (HF);8..9mm (HF);9..10mm (HF);10..11mm (HF);11..12mm (HF);12..13mm (HF);13..14mm (HF);14..15mm (HF);15..16mm (HF);16..17mm (HF);17..18mm (HF);18..19mm (HF);19..20mm (HF);20..21mm (HF);21..22mm (HF);22..23mm (HF);23..24mm (HF);24..25mm (HF);25..26mm (HF);26..27mm (HF);27..28mm (HF);28..29mm (HF);29..30mm (HF);30..31mm (HF);31..32mm (HF);32..33mm (HF);33..34mm (HF);34..35mm (HF);35..36mm (HF);36..37mm (HF);37..38mm (HF);38..39mm (HF);39..40mm (HF);40..41mm (HF);41..42mm (HF);42..43mm (HF);43..44mm (HF);44..45mm (HF);45..46mm (HF);46..47mm (HF);47..48mm (HF);48..49mm (HF);49..50mm (HF);50..51mm (HF);51..52mm (HF);52..53mm (HF);53..54mm (HF);54..55mm (HF);55..56mm (HF);56..57mm (HF);57..58mm (HF);58..59mm (HF);59..60mm (HF);60..61mm (HF);61..62mm (HF);62..63mm (HF);63..64mm (HF);64..65mm (HF);65..66mm (HF);66..67mm (HF);67..68mm (HF);68..69mm (HF);69..70mm (HF);70..71mm (HF);71..72mm (HF);72..73mm (HF);73..74mm (HF);74..75mm (HF);75..76mm (HF);76..77mm (HF);77..78mm (HF);78..79mm (HF);79..80mm (HF);80..81mm (HF);81..82mm (HF);82..83mm (HF);83..84mm (HF);84..85mm (HF);85..86mm (HF);86..87mm (HF);87..88mm (HF);88..89mm (HF);89..90mm (HF);90..91mm (HF);91..92mm (HF);92..93mm (HF);93..94mm (HF);94..95mm (HF);95..96mm (HF);96..97mm (HF);97..98mm (HF);98..99mm (HF);99..100mm (HF);100..101mm (HF);101..102mm (HF);102..103mm (HF);103..104mm (HF);104..105mm (HF);105..106mm (HF);106..107mm (HF);107..108mm (HF);108..109mm (HF);109..110mm (HF);110..111mm (HF);111..112mm (HF);112..113mm (HF);113..114mm (HF);114..115mm (HF);115..116mm (HF);116..117mm (HF);117..118mm (HF);118..119mm (HF);119..120mm (HF);120..121mm (HF);121..122mm (HF);122..123mm (HF);123..124mm (HF);124..125mm (HF);125..126mm (HF);126..127mm (HF);127..128mm (HF);128..129mm (HF);129..130mm (HF);130..131mm (HF);131..132mm (HF);132..133mm (HF);133..134mm (HF);134..135mm (HF);135..136mm (HF);136..137mm (HF);137..138mm (HF);138..139mm (HF);139..140mm (HF);140..141mm (HF);141..142mm (HF);142..143mm (HF);143..144mm (HF);144..145mm (HF);145..146mm (HF);146..147mm (HF);147..148mm (HF);148..149mm (HF);149..150mm (HF);150..151mm (HF);151..152mm (HF);152..153mm (HF);153..154mm (HF);154..155mm (HF);155..156mm (HF);156..157mm (HF);157..158mm (HF);158..159mm (HF);159..160mm (HF);160..161mm (HF);161..162mm (HF);162..163mm (HF);163..164mm (HF);164..165mm (HF);165..166mm (HF);166..167mm (HF);167..168mm (HF);168..169mm (HF);169..170mm (HF);170..171mm (HF);171..172mm (HF);172..173mm (HF);173..174mm (HF);174..175mm (HF);175..176mm (HF);176..177mm (HF);177..178mm (HF);178..179mm (HF);179..180mm (HF);180..181mm (HF);181..182mm (HF);182..183mm (HF);183..184mm (HF);184..185mm (HF);185..186mm (HF);186..187mm (HF);187..188mm (HF);188..189mm (HF);189..190mm (HF);190..191mm (HF);191..192mm (HF);192..193mm (HF);193..194mm (HF);194..195mm (HF);195..196mm (HF);196..197mm (HF);197..198mm (HF);198..199mm (HF);199..200mm (HF)
01.02.2020;00:04:56,420;38_2_7;352.605271951295;21.855;12108;3146;45.3013;-1;524822;43.484856;635049;80.8932;34.9618392492;60;0.551929309935579;0.812646519085267;21.8152789234564;15.9286169974317;0;0;0.0101788;0.0506218;0.0743803;0.0422161;0.0616594;0.103923;0.231549;0.332064;0.0923509;0.00105716;0;0;0.00817012;0.0126811;0.01597;0.0181137;0.0201314;0.0212048;0.0201635;0.0187462;0.0171814;0.0166615;0.0165554;0.016708;0.0171998;0.0195694;0.0214664;0.0238656;0.0271662;0.0314245;0.0348973;0.043691;0.0480028;0.0507146;0.0542429;0.057814;0.0592796;0.0589787;0.0494755;0.0481601;0.0425579;0.0321868;0.0253394;0.018455;0.0145256;0.0081321;0.00440474;0.00365926;0.000561944;0.000884297;0.000469429;0.000284123;0.000303608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2020;00:12:16,022;39_4_9;403.736049204133;0.005;12108;3089;45.2187;-1;594396;51.131744;842153;88.274576;36.6782108587329;60;0.554577986738381;0.813483758489426;21.9659427342389;15.7898914337768;0;0;0.0112389;0.0539885;0.075235;0.0399063;0.0562835;0.0991454;0.223816;0.341771;0.097039;0.00157628;0;0;0.00906377;0.0137465;0.0171423;0.0190605;0.0213715;0.0213116;0.0203478;0.0184185;0.017042;0.0153231;0.0149645;0.0150314;0.0168156;0.0170132;0.0198898;0.0225226;0.0261444;0.0305885;0.0331118;0.0409065;0.0449586;0.0503937;0.0544457;0.0559226;0.0581402;0.0630141;0.0529919;0.0508776;0.0451081;0.0307385;0.0249933;0.0213517;0.0142579;0.00997075;0.00548385;0.00323677;0.00162603;0.00109655;0.000210668;0.00039966;0.000255217;0.000339892;0;0.00037084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2020;00:20:56,251;39_6_11;403.513796127401;0.005;12108;3105;45.472;-1;609201;50.261024;953511;98.1804;33.8591631942307;60;0.550857650339603;0.809334107240041;21.3162745852401;14.763872022424;0;0;0.0129693;0.0669982;0.0892404;0.0455849;0.0603644;0.0976896;0.204954;0.32267;0.0985235;0.00100557;0;0;0.0103643;0.0165608;0.0214517;0.0238152;0.0258761;0.025707;0.0236873;0.0217454;0.019331;0.0178233;0.0166037;0.0169119;0.0172857;0.0179939;0.0205089;0.0234762;0.0253465;0.028358;0.0327815;0.0363138;0.0409053;0.0445688;0.0503845;0.0527159;0.0535306;0.054904;0.0511666;0.048173;0.0438356;0.0336629;0.0263436;0.019909;0.0143254;0.00936032;0.00606214;0.00430974;0.001203;0.00169212;0.000490683;0.000246754;0.000268138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2020;00:29:06,480;39_8_1;423.656526033767;0.005;12108;3148;45.5939;-1;625937;49.613284;958890;93.136496;34.7554188875107;59;0.551185896080169;0.808484866001707;21.0980113626345;14.7070881503257;0;0;0.0135515;0.0655161;0.086348;0.0462119;0.0656436;0.104037;0.213802;0.316917;0.0873838;0.000589484;0;0;0.0109216;0.0168539;0.0211716;0.0227568;0.0248303;0.0246751;0.0230439;0.0211623;0.0189481;0.0184871;0.0175467;0.0180762;0.0191391;0.0196585;0.0205803;0.0243367;0.0275678;0.0315519;0.0337051;0.0393155;0.0430149;0.047471;0.0502954;0.0549405;0.0537148;0.0551732;0.0488414;0.0473704;0.040699;0.0298472;0.0258464;0.018007;0.0123597;0.00660683;0.00551397;0.00311336;0.000967899;0.00129902;0;0.000283039;0.000306446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2020;00:37:36,443;39_10_3;352.85569033958;40.005;12108;3138;45.6405;-1;532518;39.906604;781291;78.66224;33.6569056876358;60;0.549199506839116;0.807062694799332;20.7496786813192;14.3232023860654;0;0;0.0145846;0.0703079;0.0895272;0.0478694;0.0658673;0.110796;0.218144;0.298594;0.0836051;0.000704798;0;0;0.0117089;0.0183025;0.022794;0.0244142;0.0257427;0.0254603;0.0238237;0.0221736;0.0201391;0.018997;0.0177487;0.0182268;0.018358;0.020267;0.0226756;0.0248443;0.0289815;0.0342943;0.0377046;0.0374015;0.0470424;0.0480078;0.0479878;0.0543761;0.0506071;0.0477015;0.0472474;0.043188;0.0389848;0.0311209;0.0213281;0.0171374;0.0113694;0.00812862;0.00514766;0.00324689;0.00231977;0.000295255;0.000704798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2020;00:44:56,000;39_12_5;414.012965338305;0.005;12108;3095;45.7095;-1;602334;44.50716;1055335;94.14692;32.0994232553416;59;0.54868944192133;0.803510609294186;19.788928689312;13.1139308972062;0;0;0.0176342;0.0878594;0.110539;0.0560288;0.0716949;0.105184;0.199485;0.26961;0.0811296;0.000836031;0;0;0.0141476;0.0223347;0.028464;0.0306325;0.0327308;0.0318015;0.0290769;0.0268444;0.024177;0.0216789;0.0206516;0.0200862;0.0203245;0.0208055;0.0213006;0.0248051;0.0273362;0.0317419;0.0333111;0.0358104;0.0397817;0.0465878;0.0439939;0.0437822;0.0471264;0.0453958;0.0466583;0.0374793;0.0359295;0.0261253;0.0205823;0.0162299;0.0115585;0.00599042;0.00687795;0.00486656;0.00120865;0.000928095;0.000354783;0;0;0;0;0.000481247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2020;00:53:36,245;39_14_7;424.539583682083;0.005;12108;3132;45.4819;-1;617616;43.8789;1057810;92.09108;32.2710204120057;59;0.550371853396541;0.802762995000745;19.5977075805508;12.9195812698818;0;0;0.0187986;0.0912721;0.110226;0.0554237;0.0700739;0.108188;0.202404;0.266442;0.0771715;0;0;0;0.0150392;0.0240106;0.0298145;0.0314345;0.0324878;0.031966;0.0293178;0.0262262;0.0231512;0.0221049;0.0196763;0.0204127;0.019316;0.0208365;0.0239188;0.0252045;0.0274006;0.0316643;0.0326007;0.0376653;0.0413996;0.0453263;0.0454119;0.0477919;0.04963;0.0447438;0.0417852;0.0346009;0.0332804;0.0292235;0.020475;0.0148351;0.00968355;0.0074692;0.00478136;0.00222621;0.00274485;0.000342735;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2020;01:01:56,567;40_16_9;423.859619627707;0.005;12108;3132;44.9788;-1;624226;46.835752;979867;90.114592;34.1990758343769;59;0.550714329781571;0.805993918287076;20.3819633668722;13.8557516798171;0;0;0.0155556;0.076526;0.0969179;0.0514718;0.0701208;0.110895;0.20559;0.290587;0.0808068;0.00152948;0;0;0.0124636;0.0198649;0.024768;0.0266226;0.0281215;0.0275435;0.0256108;0.0240045;0.0217162;0.0200281;0.0192029;0.0195781;0.0202254;0.0208419;0.0233717;0.0272712;0.0280673;0.0321846;0.0331498;0.0366207;0.0416188;0.0467233;0.0474771;0.0526387;0.0512533;0.0476609;0.0462741;0.0391292;0.0370106;0.0256716;0.0244222;0.0169065;0.0102319;0.009883;0.00328471;0.00428961;0.00216659;0.000570802;0.00085804;0.000671443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2020;01:14:56,254;40_18_11;323.042802778073;0.005;12108;3064;45.0673;-1;481498;39.382756;532605;84.877312;31.6938149430274;60;0.550612950274924;0.810879253414499;21.6064447265567;15.8385690476456;0;0;0.00983872;0.0500485;0.0749166;0.0461257;0.066648;0.111724;0.234439;0.316095;0.088323;0.00184118;0;0;0.00791711;0.0121723;0.0157964;0.0181039;0.0204408;0.020957;0.0203087;0.0191076;0.0187938;0.0180532;0.0179882;0.0179675;0.0189796;0.0209914;0.0233653;0.0254077;0.0299215;0.0330296;0.0384731;0.0421772;0.0461859;0.052336;0.0552669;0.054814;0.0567749;0.0519303;0.0511704;0.0471945;0.0392467;0.027829;0.0270111;0.0162181;0.0116333;0.00938247;0.00461336;0.0032242;0.00189604;0.00147976;0.000504212;0.000272162;0;0.000623479;0;0.000441328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2020;01:21:45,874;40_20_1;312.80997209996;27.41;12108;3044;44.7912;-1;473872;44.55952;494445;84.43268;34.5443522941697;60;0.552743762348653;0.815719545908607;22.319979223663;16.9079779717929;0;0;0.00768908;0.0392895;0.0674845;0.0410381;0.0622727;0.105849;0.235223;0.340361;0.0999378;0.00085534;0;0;0.00621735;0.00927654;0.0119919;0.0143929;0.0175447;0.0190638;0.0183479;0.0176281;0.0171334;0.0156799;0.0159437;0.0168239;0.0177358;0.0199941;0.0214618;0.0242852;0.0285643;0.0315374;0.0361409;0.0414264;0.0483636;0.0545263;0.0547657;0.0576281;0.0604039;0.0602216;0.0513739;0.050967;0.0421342;0.0349527;0.0282479;0.0185352;0.0133969;0.00973601;0.00477873;0.00426768;0.00130415;0.00235133;0.000658367;0.000196973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
